23	15	67
23	8	119
16	23	986
16	15	921
7	16	180
7	8	793
22	8	57
22	15	536
9	7	978
9	16	16
21	15	823
21	23	280
6	15	849
6	16	23
1	16	756
1	22	712
29	7	181
29	23	163
14	6	240
14	1	840
24	23	229
24	29	306
4	1	47
4	6	799
19	16	227
19	9	281
26	4	807
26	16	64
11	7	998
11	29	104
18	4	1020
18	19	786
3	21	376
3	6	686
12	1	265
12	26	370
27	22	268
27	7	842
17	9	312
17	22	477
2	22	269
2	14	73
13	16	755
13	2	986
28	6	535
28	1	498
20	13	1001
20	26	255
25	27	578
25	1	554
10	1	497
10	22	44
5	6	390
5	2	1028
0	20	254
0	22	917
15	4	694
15	28	246
8	17	109
8	2	513
